Data Table for Daily Death Trends - The United States,,,,
Date generated: Fri Jan 21 2022 14:01:23 GMT-0800 (Pacific Standard Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Jan 20 2022,2621,1843,0
United States,Jan 19 2022,2542,1749,408
United States,Jan 18 2022,2414,1675,0
United States,Jan 17 2022,1136,1759,0
United States,Jan 16 2022,535,1854,0
United States,Jan 15 2022,1070,1854,0
United States,Jan 14 2022,2585,1802,140
United States,Jan 13 2022,1964,1754,0
United States,Jan 12 2022,2027,1754,282
United States,Jan 11 2022,2997,1691,0
United States,Jan 10 2022,1803,1653,0
United States,Jan  9 2022,535,1599,0
United States,Jan  8 2022,709,1566,0
United States,Jan  7 2022,2247,1518,136
United States,Jan  6 2022,1963,1380,0
United States,Jan  5 2022,1584,1282,165
United States,Jan  4 2022,2736,1274,0
United States,Jan  3 2022,1422,1191,172
United States,Jan  2 2022,305,1216,0
United States,Jan  1 2022,374,1205,0
United States,Dec 31 2021,1278,1184,0
United States,Dec 30 2021,1280,1193,0
United States,Dec 29 2021,1529,1152,232
United States,Dec 28 2021,2153,1154,0
United States,Dec 27 2021,1593,1166,324
United States,Dec 26 2021,232,1133,0
United States,Dec 25 2021,228,1137,0
United States,Dec 24 2021,1341,1187,0
United States,Dec 23 2021,994,1258,2163
United States,Dec 22 2021,1541,1273,276
United States,Dec 21 2021,2234,1289,15
United States,Dec 20 2021,1367,1241,68
United States,Dec 19 2021,258,1226,0
United States,Dec 18 2021,580,1231,0
United States,Dec 17 2021,1834,1218,214
United States,Dec 16 2021,1098,1216,1
United States,Dec 15 2021,1658,1223,230
United States,Dec 14 2021,1894,1168,0
United States,Dec 13 2021,1263,1160,36
United States,Dec 12 2021,293,1159,0
United States,Dec 11 2021,492,1156,0
United States,Dec 10 2021,1814,1167,151
United States,Dec  9 2021,1149,1117,0
United States,Dec  8 2021,1276,1129,185
United States,Dec  7 2021,1839,1168,0
United States,Dec  6 2021,1250,1135,47
United States,Dec  5 2021,275,1185,0
United States,Dec  4 2021,570,1174,0
United States,Dec  3 2021,1464,1122,175
United States,Dec  2 2021,1231,993,0
United States,Dec  1 2021,1552,884,160
United States,Nov 30 2021,1605,836,12
United States,Nov 29 2021,1602,828,58
United States,Nov 28 2021,196,759,0
United States,Nov 27 2021,207,756,0
United States,Nov 26 2021,561,778,0
United States,Nov 25 2021,467,925,0
United States,Nov 24 2021,1216,1014,147
United States,Nov 23 2021,1547,1020,9
United States,Nov 22 2021,1124,1007,42
United States,Nov 21 2021,171,994,0
United States,Nov 20 2021,366,1000,0
United States,Nov 19 2021,1586,1026,71
United States,Nov 18 2021,1088,1042,2783
United States,Nov 17 2021,1262,1023,178
United States,Nov 16 2021,1454,1022,0
United States,Nov 15 2021,1034,1042,39
United States,Nov 14 2021,214,1057,0
United States,Nov 13 2021,545,1063,0
United States,Nov 12 2021,1697,1053,43
United States,Nov 11 2021,960,1033,11
United States,Nov 10 2021,1255,1068,88
United States,Nov  9 2021,1590,1094,0
United States,Nov  8 2021,1144,1072,24
United States,Nov  7 2021,251,1071,0
United States,Nov  6 2021,474,1078,0
United States,Nov  5 2021,1558,1074,55
United States,Nov  4 2021,1207,1099,0
United States,Nov  3 2021,1439,1108,-247
United States,Nov  2 2021,1431,1146,17
United States,Nov  1 2021,1142,1229,47
United States,Oct 31 2021,298,1208,0
United States,Oct 30 2021,443,1214,0
United States,Oct 29 2021,1737,1246,71
United States,Oct 28 2021,1269,1266,1
United States,Oct 27 2021,1706,1303,66
United States,Oct 26 2021,2013,1309,25
United States,Oct 25 2021,992,1285,56
United States,Oct 24 2021,342,1323,0
United States,Oct 23 2021,665,1374,0
United States,Oct 22 2021,1878,1412,77
United States,Oct 21 2021,1529,1427,0
United States,Oct 20 2021,1750,1431,78
United States,Oct 19 2021,1840,1435,1
United States,Oct 18 2021,1260,1450,1013
United States,Oct 17 2021,702,1400,13
United States,Oct 16 2021,926,1406,0
United States,Oct 15 2021,1987,1426,58
United States,Oct 14 2021,1554,1461,7
United States,Oct 13 2021,1779,1486,59
United States,Oct 12 2021,1942,1516,10
United States,Oct 11 2021,910,1532,47
United States,Oct 10 2021,744,1577,298
United States,Oct  9 2021,1069,1607,0
United States,Oct  8 2021,2229,1644,40
United States,Oct  7 2021,1732,1633,16
United States,Oct  6 2021,1990,1661,51
United States,Oct  5 2021,2050,1691,0
United States,Oct  4 2021,1227,1701,69
United States,Oct  3 2021,954,1737,24
United States,Oct  2 2021,1328,1746,0
United States,Oct  1 2021,2151,1764,42
United States,Sep 30 2021,1927,1799,34
United States,Sep 29 2021,2201,1817,50
United States,Sep 28 2021,2125,1831,22
United States,Sep 27 2021,1473,1861,447
United States,Sep 26 2021,1022,1835,27
United States,Sep 25 2021,1452,1858,0
United States,Sep 24 2021,2396,1881,61
United States,Sep 23 2021,2055,1865,24
United States,Sep 22 2021,2297,1869,70
United States,Sep 21 2021,2333,1882,9
United States,Sep 20 2021,1292,1894,52
United States,Sep 19 2021,1182,1894,33
United States,Sep 18 2021,1615,1888,0
United States,Sep 17 2021,2284,1907,37
United States,Sep 16 2021,2082,1901,25
United States,Sep 15 2021,2390,1924,108
United States,Sep 14 2021,2415,1877,5
United States,Sep 13 2021,1290,1741,53
United States,Sep 12 2021,1143,1708,19
United States,Sep 11 2021,1751,1726,0
United States,Sep 10 2021,2236,1690,49
United States,Sep  9 2021,2245,1646,6
United States,Sep  8 2021,2059,1612,58
United States,Sep  7 2021,1463,1602,87
United States,Sep  6 2021,1065,1644,15
United States,Sep  5 2021,1266,1664,49
United States,Sep  4 2021,1502,1648,0
United States,Sep  3 2021,1927,1643,28
United States,Sep  2 2021,2003,1625,16
United States,Sep  1 2021,1988,1590,36
United States,Aug 31 2021,1762,1541,50
United States,Aug 30 2021,1202,1526,35
United States,Aug 29 2021,1156,1515,33
United States,Aug 28 2021,1464,1476,0
United States,Aug 27 2021,1802,1433,42
United States,Aug 26 2021,1760,1398,31
United States,Aug 25 2021,1647,1342,17
United States,Aug 24 2021,1652,1319,4
United States,Aug 23 2021,1125,1254,77
United States,Aug 22 2021,884,1213,13
United States,Aug 21 2021,1167,1183,0
United States,Aug 20 2021,1557,1143,14
United States,Aug 19 2021,1362,1090,29
United States,Aug 18 2021,1487,1036,15
United States,Aug 17 2021,1197,907,0
United States,Aug 16 2021,842,874,8
United States,Aug 15 2021,672,856,0
United States,Aug 14 2021,886,835,0
United States,Aug 13 2021,1185,802,14
United States,Aug 12 2021,984,752,0
United States,Aug 11 2021,588,721,12
United States,Aug 10 2021,964,742,0
United States,Aug  9 2021,717,705,1
United States,Aug  8 2021,527,697,0
United States,Aug  7 2021,649,674,0
United States,Aug  6 2021,841,638,0
United States,Aug  5 2021,761,592,0
United States,Aug  4 2021,739,555,0
United States,Aug  3 2021,704,519,0
United States,Aug  2 2021,658,491,0
United States,Aug  1 2021,368,457,0
United States,Jul 31 2021,397,440,0
United States,Jul 30 2021,518,418,130
United States,Jul 29 2021,502,403,0
United States,Jul 28 2021,492,381,0
United States,Jul 27 2021,506,366,0
United States,Jul 26 2021,421,340,0
United States,Jul 25 2021,244,321,0
United States,Jul 24 2021,249,308,0
United States,Jul 23 2021,412,297,0
United States,Jul 22 2021,343,292,0
United States,Jul 21 2021,392,288,0
United States,Jul 20 2021,322,280,0
United States,Jul 19 2021,287,283,0
United States,Jul 18 2021,151,285,0
United States,Jul 17 2021,177,280,0
United States,Jul 16 2021,372,275,0
United States,Jul 15 2021,320,267,0
United States,Jul 14 2021,337,259,0
United States,Jul 13 2021,340,247,0
United States,Jul 12 2021,303,242,0
United States,Jul 11 2021,115,214,0
United States,Jul 10 2021,144,215,0
United States,Jul  9 2021,312,216,0
United States,Jul  8 2021,264,215,0
United States,Jul  7 2021,255,218,0
United States,Jul  6 2021,303,217,0
United States,Jul  5 2021,107,213,0
United States,Jul  4 2021,124,225,0
United States,Jul  3 2021,152,232,0
United States,Jul  2 2021,302,245,0
United States,Jul  1 2021,287,258,0
United States,Jun 30 2021,244,262,0
United States,Jun 29 2021,279,275,0
United States,Jun 28 2021,191,280,0
United States,Jun 27 2021,174,290,0
United States,Jun 26 2021,241,296,0
United States,Jun 25 2021,394,298,10
United States,Jun 24 2021,314,281,0
United States,Jun 23 2021,336,276,0
United States,Jun 22 2021,310,276,0
United States,Jun 21 2021,264,276,8
United States,Jun 20 2021,217,268,0
United States,Jun 19 2021,254,258,0
United States,Jun 18 2021,274,252,0
United States,Jun 17 2021,279,270,0
United States,Jun 16 2021,339,286,0
United States,Jun 15 2021,311,290,0
United States,Jun 14 2021,205,290,0
United States,Jun 13 2021,149,307,0
United States,Jun 12 2021,212,347,0
United States,Jun 11 2021,397,373,0
United States,Jun 10 2021,393,401,0
United States,Jun  9 2021,365,413,18
United States,Jun  8 2021,312,432,0
United States,Jun  7 2021,325,435,0
United States,Jun  6 2021,427,422,0
United States,Jun  5 2021,396,397,0
United States,Jun  4 2021,594,384,0
United States,Jun  3 2021,472,400,0
United States,Jun  2 2021,500,411,0
United States,Jun  1 2021,337,414,0
United States,May 31 2021,228,438,0
United States,May 30 2021,255,456,0
United States,May 29 2021,305,461,0
United States,May 28 2021,706,474,0
United States,May 27 2021,547,469,0
United States,May 26 2021,523,467,0
United States,May 25 2021,504,479,0
United States,May 24 2021,355,493,217
United States,May 23 2021,288,496,0
United States,May 22 2021,401,518,0
United States,May 21 2021,671,522,0
United States,May 20 2021,527,526,0
United States,May 19 2021,607,535,0
United States,May 18 2021,604,548,0
United States,May 17 2021,375,548,0
United States,May 16 2021,441,555,0
United States,May 15 2021,432,550,0
United States,May 14 2021,696,577,0
United States,May 13 2021,590,594,0
United States,May 12 2021,699,605,0
United States,May 11 2021,609,609,0
United States,May 10 2021,422,621,0
United States,May  9 2021,407,628,0
United States,May  8 2021,620,642,0
United States,May  7 2021,814,642,0
United States,May  6 2021,668,640,0
United States,May  5 2021,725,654,0
United States,May  4 2021,691,671,0
United States,May  3 2021,473,650,0
United States,May  2 2021,504,651,0
United States,May  1 2021,625,641,0
United States,Apr 30 2021,795,647,0
United States,Apr 29 2021,769,655,0
United States,Apr 28 2021,844,658,0
United States,Apr 27 2021,540,648,0
United States,Apr 26 2021,484,677,0
United States,Apr 25 2021,436,677,0
United States,Apr 24 2021,665,687,0
