continent,year,month,US_imports,US_exports,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
Africa,2019,Jan,2662.223523,1725.373398,-936.850125,4,264.58,0,0,1324
Africa,2019,Feb,1742.160449,1927.257731,185.097282,3.8,266.36,0,0,1324
Africa,2019,Mar,2585.382645,2664.743811,79.361166,3.8,269.34,0,0,1324
Africa,2019,Apr,2605.059567,2247.018589,-358.040978,3.6,272.38,0,0,1324
Africa,2019,May,3332.941796,2389.686079,-943.255717,3.6,275.21,0,0,1324
Africa,2019,Jun,2940.603163,2690.721352,-249.881811,3.6,276.47,0,0,1324
Africa,2019,Jul,2481.393144,2270.761728,-210.631416,3.7,277.43,0,0,1342
Africa,2019,Aug,2832.416862,2202.409329,-630.007533,3.7,277.48,0,0,1350
Africa,2019,Sep,2398.488782,2022.338034,-376.150748,3.5,278.17,0,0,1279
Africa,2019,Oct,2320.337619,2198.17911,-122.158509,3.6,278.27,0,0,1238
Africa,2019,Nov,2060.085072,2135.588974,75.503902,3.6,278.71,0,0,1290
Africa,2019,Dec,2205.998536,2263.729319,57.730783,3.6,279.34,0,0,1446
Africa,2020,Jan,2184.173703,1933.62348,-250.550223,3.5,280.38,4,0,1514
Africa,2020,Feb,2042.436098,1896.508535,-145.927563,3.5,283.64,66,2,1331
Africa,2020,Mar,1899.756369,2255.611003,355.854634,4.4,286.34,212592,4947,1400
Africa,2020,Apr,1884.39351,1604.391777,-280.001733,14.7,288.64,878237,60329,1439
Africa,2020,May,2042.97821,1675.81993,-367.15828,13.2,289.54,743386,41797,1459
Africa,2020,Jun,1653.17917,1559.621013,-93.558157,11,293.23,860959,20649,1785
Africa,2020,Jul,2002.678105,1703.168969,-299.509136,10.2,296.61,1940971,30604,1762
Africa,2020,Aug,2159.603694,1790.797194,-368.8065,8.4,300.72,1478495,30610,1946
Africa,2020,Sep,1894.581092,1601.777719,-292.803373,7.9,304.59,1220261,21822,2247
