continent,year,month,US_imports,US_exports,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
South and Central America,2019,Jan,9967.850534,13271.91659,3304.066056,4,264.58,0,0,1324
South and Central America,2019,Feb,8738.974137,11902.34513,3163.370993,3.8,266.36,0,0,1324
South and Central America,2019,Mar,9181.977306,14227.39207,5045.414764,3.8,269.34,0,0,1324
South and Central America,2019,Apr,9509.791998,13435.4792,3925.687202,3.6,272.38,0,0,1324
South and Central America,2019,May,9637.998744,13998.27034,4360.271596,3.6,275.21,0,0,1324
South and Central America,2019,Jun,8778.390637,13755.14631,4976.755673,3.6,276.47,0,0,1324
South and Central America,2019,Jul,10154.77899,12948.15549,2793.3765,3.7,277.43,0,0,1342
South and Central America,2019,Aug,8684.617766,13708.52599,5023.908224,3.7,277.48,0,0,1350
South and Central America,2019,Sep,8339.775506,12927.54198,4587.766474,3.5,278.17,0,0,1279
South and Central America,2019,Oct,8704.355203,14166.19505,5461.839847,3.6,278.27,0,0,1238
South and Central America,2019,Nov,8133.236986,14013.58808,5880.351094,3.6,278.71,0,0,1290
South and Central America,2019,Dec,9021.356799,13339.00083,4317.644031,3.6,279.34,0,0,1446
South and Central America,2020,Jan,8469.104714,13464.07436,4994.969646,3.5,280.38,4,0,1514
South and Central America,2020,Feb,7733.347128,12892.23611,5158.888982,3.5,283.64,66,2,1331
South and Central America,2020,Mar,8308.176664,12905.74477,4597.568106,4.4,286.34,212592,4947,1400
South and Central America,2020,Apr,5844.891317,8397.036848,2552.145531,14.7,288.64,878237,60329,1439
South and Central America,2020,May,5754.043545,7855.032661,2100.989116,13.2,289.54,743386,41797,1459
South and Central America,2020,Jun,6911.168165,8367.726881,1456.558716,11,293.23,860959,20649,1785
South and Central America,2020,Jul,7371.931636,9756.633872,2384.702236,10.2,296.61,1940971,30604,1762
South and Central America,2020,Aug,7696.946414,10031.53107,2334.584656,8.4,300.72,1478495,30610,1946
South and Central America,2020,Sep,7895.536458,9952.679181,2057.142723,7.9,304.59,1220261,21822,2247
South and Central America,2020,Oct,8546.339738,11542.86342,2996.523682,6.9,307.83,1935667,24008,2231
South and Central America,2020,Nov,7538.16108,11185.19479,3647.03371,6.7,310.16,4432394,41976,2443
South and Central America,2020,Dec,8873.970896,12477.53597,3603.565074,6.7,312.32,6373304,82375,3143
South and Central America,2021,Jan,7406.001966,12222.77586,4816.773894,6.4,315.03,6088193,97856,4087
South and Central America,2021,Feb,8096.325237,11358.69408,3262.368843,6.2,319.68,2342966,61920,4302
South and Central America,2021,Mar,9932.370193,13418.4451,3486.074907,6,327.16,1795768,32013,4111
South and Central America,2021,Apr,9786.754558,13281.12071,3494.366152,6,334.92,1844608,20769,4375
South and Central America,2021,May,9744.615041,14103.06004,4358.444999,5.8,342.48,897760,16312,5165
South and Central America,2021,Jun,10295.39023,14500.50294,4205.11271,5.9,348.93,392130,9505,6217
South and Central America,2021,Jul,10448.40661,15161.30726,4712.90065,5.4,353.89,1378269,9450,8848
South and Central America,2021,Aug,10697.24972,16172.28652,5475.0368,5.2,356.45,4245784,33309,10323
South and Central America,2021,Sep,11347.78628,14613.7306,3265.94432,4.7,358.8,4101005,54479,10839
