year,continent,country,IYR,EYR,Trade_deficit,Average of US_ unemployment_rate,Average of US_housing_price_index,Sum of number_of_covid_cases_US,Sum of number_of_covid_deaths
2019,Africa,Algeria,2479.529457,1000.467959,1479.061498,3.68,274.48,0,0
2021,Africa,Algeria,1648.870835,689.426145,959.44469,5.36,345.18,206532402,2679372
2020,Africa,Algeria,482.142284,725.192594,-243.05031,8.09,296.17,120458016,2154714
2021,Africa,Angola,1055.011525,398.724445,656.28708,5.36,345.18,206532402,2679372
2019,Africa,Angola,954.541199,534.698174,419.843025,3.68,274.48,0,0
2020,Africa,Angola,471.73608,469.987653,1.748427,8.09,296.17,120458016,2154714
2019,Africa,Benin,8.595489,266.422353,-257.826864,3.68,274.48,0,0
2021,Africa,Benin,7.883771,294.888682,-287.004911,5.36,345.18,206532402,2679372
2020,Africa,Benin,5.57648,196.962006,-191.385526,8.09,296.17,120458016,2154714
2019,Africa,Botswana,275.313644,104.493794,170.81985,3.68,274.48,0,0
2021,Africa,Botswana,224.330781,49.837712,174.493069,5.36,345.18,206532402,2679372
2020,Africa,Botswana,174.996268,48.657249,126.339019,8.09,296.17,120458016,2154714
2019,Africa,Burkina Faso,5.976582,66.255747,-60.279165,3.68,274.48,0,0
2020,Africa,Burkina Faso,5.090827,71.92753,-66.836703,8.09,296.17,120458016,2154714
2021,Africa,Burkina Faso,3.490736,87.917599,-84.426863,5.36,345.18,206532402,2679372
2021,Africa,Cabo Verde,4.852976,9.962578,-5.109602,5.36,345.18,206532402,2679372
2020,Africa,Cabo Verde,4.61888,6.922056,-2.303176,8.09,296.17,120458016,2154714
2019,Africa,Cabo Verde,3.952995,8.170182,-4.217187,3.68,274.48,0,0
2020,Africa,Cameroon,470.622557,187.382615,283.239942,8.09,296.17,120458016,2154714
2019,Africa,Cameroon,291.877141,200.038363,91.838778,3.68,274.48,0,0
2021,Africa,Cameroon,195.684792,140.521806,55.162986,5.36,345.18,206532402,2679372
2019,Africa,Central African Republic,3.534678,16.985043,-13.450365,3.68,274.48,0,0
2021,Africa,Central African Republic,1.737854,17.247076,-15.509222,5.36,345.18,206532402,2679372
2020,Africa,Central African Republic,1.014445,15.816339,-14.801894,8.09,296.17,120458016,2154714
2019,Africa,Chad,132.836755,84.632783,48.203972,3.68,274.48,0,0
2021,Africa,Chad,3.70394,36.295725,-32.591785,5.36,345.18,206532402,2679372
2020,Africa,Chad,3.322196,46.11094,-42.788744,8.09,296.17,120458016,2154714
2021,Africa,Comoros,5.521595,1.688841,3.832754,5.36,345.18,206532402,2679372
2020,Africa,Comoros,3.42892,1.410572,2.018348,8.09,296.17,120458016,2154714
2019,Africa,Comoros,2.064034,1.512989,0.551045,3.68,274.48,0,0
2019,Africa,Congo (Brazzaville),562.792051,108.900126,453.891925,3.68,274.48,0,0
2020,Africa,Congo (Brazzaville),132.186459,99.089048,33.097411,8.09,296.17,120458016,2154714
2021,Africa,Congo (Brazzaville),49.741117,98.63022,-48.889103,5.36,345.18,206532402,2679372
2021,Africa,Congo (Kinshasa),234.556358,182.316338,52.24002,5.36,345.18,206532402,2679372
2020,Africa,Congo (Kinshasa),29.968014,153.400671,-123.432657,8.09,296.17,120458016,2154714
2019,Africa,Congo (Kinshasa),21.611556,131.898188,-110.286632,3.68,274.48,0,0
2021,Africa,Cote d'Ivoire,1180.622052,271.025769,909.596283,5.36,345.18,206532402,2679372
2019,Africa,Cote d'Ivoire,923.791355,278.532898,645.258457,3.68,274.48,0,0
2020,Africa,Cote d'Ivoire,880.744755,218.767236,661.977519,8.09,296.17,120458016,2154714
2020,Africa,Djibouti,40.754914,189.297719,-148.542805,8.09,296.17,120458016,2154714
2021,Africa,Djibouti,31.782378,189.984794,-158.202416,5.36,345.18,206532402,2679372
2019,Africa,Djibouti,30.60109,150.076642,-119.475552,3.68,274.48,0,0
2019,Africa,Equatorial Guinea,327.705668,213.870787,113.834881,3.68,274.48,0,0
2021,Africa,Equatorial Guinea,224.34627,47.661632,176.684638,5.36,345.18,206532402,2679372
2020,Africa,Equatorial Guinea,135.44548,93.729178,41.716302,8.09,296.17,120458016,2154714
2021,Africa,Eritrea,0.295114,18.796052,-18.500938,5.36,345.18,206532402,2679372
2020,Africa,Eritrea,0.27281,18.675177,-18.402367,8.09,296.17,120458016,2154714
2019,Africa,Eritrea,0.143376,14.321999,-14.178623,3.68,274.48,0,0
2021,Africa,Eswatini,22.69531,34.593692,-11.898382,5.36,345.18,206532402,2679372
2020,Africa,Eswatini,19.500925,21.41448,-1.913555,8.09,296.17,120458016,2154714
2019,Africa,Eswatini,15.871409,19.698205,-3.826796,3.68,274.48,0,0
2019,Africa,Ethiopia,571.538298,1010.78853,-439.250232,3.68,274.48,0,0
2021,Africa,Ethiopia,553.216742,499.253071,53.963671,5.36,345.18,206532402,2679372
2020,Africa,Ethiopia,524.532825,910.938604,-386.405779,8.09,296.17,120458016,2154714
2019,Africa,Gabon,121.122071,129.328871,-8.2068,3.68,274.48,0,0
2021,Africa,Gabon,103.548184,87.025718,16.522466,5.36,345.18,206532402,2679372
2020,Africa,Gabon,76.101247,92.239293,-16.138046,8.09,296.17,120458016,2154714
2019,Africa,Gambia,1.547523,44.956759,-43.409236,3.68,274.48,0,0
2021,Africa,Gambia,1.041322,48.785046,-47.743724,5.36,345.18,206532402,2679372
2020,Africa,Gambia,0.995646,41.490184,-40.494538,8.09,296.17,120458016,2154714
2021,Africa,Ghana,1608.261263,883.528905,724.732358,5.36,345.18,206532402,2679372
2019,Africa,Ghana,942.512864,840.130858,102.382006,3.68,274.48,0,0
2020,Africa,Ghana,716.977065,828.77183,-111.794765,8.09,296.17,120458016,2154714
2020,Africa,Guinea,9.915065,135.531801,-125.616736,8.09,296.17,120458016,2154714
2021,Africa,Guinea,9.224948,142.323683,-133.098735,5.36,345.18,206532402,2679372
2019,Africa,Guinea,8.752154,128.010546,-119.258392,3.68,274.48,0,0
2019,Africa,Kenya,667.122195,401.299989,265.822206,3.68,274.48,0,0
2021,Africa,Kenya,633.576897,473.899845,159.677052,5.36,345.18,206532402,2679372
2020,Africa,Kenya,568.82896,372.172459,196.656501,8.09,296.17,120458016,2154714
2019,Africa,Lesotho,324.951576,1.212467,323.739109,3.68,274.48,0,0
2020,Africa,Lesotho,305.390768,2.192068,303.1987,8.09,296.17,120458016,2154714
2021,Africa,Lesotho,302.942411,2.96996,299.972451,5.36,345.18,206532402,2679372
2019,Africa,Liberia,65.643435,113.873655,-48.23022,3.68,274.48,0,0
2021,Africa,Liberia,65.475679,126.35781,-60.882131,5.36,345.18,206532402,2679372
2020,Africa,Liberia,45.117098,93.177833,-48.060735,8.09,296.17,120458016,2154714
2021,Africa,Libya,2050.487253,251.493011,1798.994242,5.36,345.18,206532402,2679372
2019,Africa,Libya,1502.633645,412.008734,1090.624911,3.68,274.48,0,0
2020,Africa,Libya,215.416133,289.956115,-74.539982,8.09,296.17,120458016,2154714
2019,Africa,Madagascar,846.12883,66.679485,779.449345,3.68,274.48,0,0
2021,Africa,Madagascar,614.766058,50.319541,564.446517,5.36,345.18,206532402,2679372
2020,Africa,Madagascar,613.87919,35.98964,577.88955,8.09,296.17,120458016,2154714
2019,Africa,Malawi,79.469352,22.808686,56.660666,3.68,274.48,0,0
2020,Africa,Malawi,43.247962,13.173623,30.074339,8.09,296.17,120458016,2154714
2021,Africa,Malawi,42.488352,22.023561,20.464791,5.36,345.18,206532402,2679372
2019,Africa,Mali,4.596565,68.050866,-63.454301,3.68,274.48,0,0
2021,Africa,Mali,2.93818,88.215781,-85.277601,5.36,345.18,206532402,2679372
2020,Africa,Mali,2.205457,98.700571,-96.495114,8.09,296.17,120458016,2154714
2020,Africa,Mauritania,5.976681,128.063034,-122.086353,8.09,296.17,120458016,2154714
