continent,year,month,US_imports,US_exports,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
Africa,1997,Jan,1899.271479,801.909923,-1097.361556,5.3,116.63,0,0,
Africa,1997,Feb,1528.342431,772.775463,-755.566968,5.2,116.92,0,0,
Africa,1997,Mar,1697.048576,1076.791307,-620.257269,5.2,117.86,0,0,
Africa,1997,Apr,1741.47059,771.503284,-969.967306,5.1,118.33,0,0,
Africa,1997,May,1733.268697,1031.45773,-701.810967,4.9,119.16,0,0,
Africa,1997,Jun,1620.548657,867.444038,-753.104619,5,119.6,0,0,
Africa,1997,Jul,1664.451593,1068.941552,-595.510041,4.9,119.89,0,0,
Africa,1997,Aug,1660.808423,1328.204046,-332.604377,4.8,120.3,0,0,
Africa,1997,Sep,1687.122984,949.801026,-737.321958,4.9,120.11,0,0,
Africa,1997,Oct,1812.135764,917.92475,-894.211014,4.7,120.49,0,0,
Africa,1997,Nov,1490.061628,848.959088,-641.10254,4.6,120.66,0,0,
Africa,1997,Dec,1389.744684,953.4001,-436.344584,4.7,120.7,0,0,
Africa,1998,Jan,1574.099372,965.19386,-608.905512,4.6,120.87,0,0,
Africa,1998,Feb,1338.099307,757.31406,-580.785247,4.6,121.71,0,0,
Africa,1998,Mar,1420.81109,876.558307,-544.252783,4.7,122.59,0,0,
Africa,1998,Apr,1555.414063,831.742025,-723.672038,4.3,123.45,0,0,
Africa,1998,May,1409.344931,771.977292,-637.367639,4.4,124.37,0,0,
Africa,1998,Jun,1346.028054,1004.176477,-341.851577,4.5,125.56,0,0,
Africa,1998,Jul,1328.230381,971.259296,-356.971085,4.5,125.85,0,0,
Africa,1998,Aug,1335.433716,942.898079,-392.535637,4.5,126.31,0,0,
Africa,1998,Sep,1173.376663,815.023701,-358.352962,4.6,126.78,0,0,
Africa,1998,Oct,1144.951855,949.249375,-195.70248,4.5,127.05,0,0,
Africa,1998,Nov,1162.949228,1090.43548,-72.513748,4.4,127.6,0,0,
Africa,1998,Dec,1035.910817,1191.002842,155.092025,4.4,127.82,0,0,
Africa,1999,Jan,1213.60983,817.662333,-395.947497,4.3,128.28,0,0,
Africa,1999,Feb,993.254855,663.74306,-329.511795,4.4,128.76,0,0,
Africa,1999,Mar,1231.70263,859.867476,-371.835154,4.2,129.83,0,0,
Africa,1999,Apr,1337.907183,799.931508,-537.975675,4.3,130.79,0,0,
Africa,1999,May,1382.559409,834.327439,-548.23197,4.2,132.06,0,0,
Africa,1999,Jun,1360.277902,888.9652,-471.312702,4.3,133.1,0,0,
Africa,1999,Jul,1293.435849,847.622426,-445.813423,4.3,133.79,0,0,
Africa,1999,Aug,1655.402821,717.777254,-937.625567,4.2,134.5,0,0,
Africa,1999,Sep,1665.678794,808.317389,-857.361405,4.2,134.58,0,0,
Africa,1999,Oct,1638.044828,984.926243,-653.118585,4.1,135.11,0,0,
Africa,1999,Nov,1572.878793,843.541093,-729.3377,4.1,135.31,0,0,
Africa,1999,Dec,1645.348512,813.419802,-831.92871,4,135.6,0,0,
Africa,2000,Jan,1593.489217,814.731535,-778.757682,4,136.94,0,0,
Africa,2000,Feb,1896.751487,921.024606,-975.726881,4.1,136.7,0,0,
Africa,2000,Mar,2378.942179,810.653195,-1568.288984,4,138.27,0,0,
Africa,2000,Apr,2293.395445,799.316623,-1494.078822,3.8,139.57,0,0,
Africa,2000,May,2080.84371,786.807004,-1294.036706,4,140.69,0,0,
Africa,2000,Jun,2659.699948,1164.203974,-1495.495974,4,142.11,0,0,
Africa,2000,Jul,2617.741479,828.06375,-1789.677729,4,142.83,0,0,
Africa,2000,Aug,2480.15866,952.117794,-1528.040866,4.1,143.27,0,0,
Africa,2000,Sep,2363.136854,1034.263699,-1328.873155,3.9,143.87,0,0,
Africa,2000,Oct,2554.957159,1043.385891,-1511.571268,3.9,144.33,0,0,
Africa,2000,Nov,2406.979747,876.83192,-1530.147827,3.9,144.79,0,0,
Africa,2000,Dec,2314.828706,934.529387,-1380.299319,3.9,145.24,0,0,
Africa,2001,Jan,2360.67478,1006.710463,-1353.964317,4.2,145.85,0,0,
Africa,2001,Feb,2039.46586,1011.926801,-1027.539059,4.2,146.8,0,0,
Africa,2001,Mar,2553.092865,904.265826,-1648.827039,4.3,148.13,0,0,
Africa,2001,Apr,2445.455219,921.310077,-1524.145142,4.4,149.4,0,0,
Africa,2001,May,2455.037939,1090.162687,-1364.875252,4.3,150.63,0,0,
Africa,2001,Jun,2228.728212,1134.019598,-1094.708614,4.5,151.88,0,0,
Africa,2001,Jul,2224.189453,1025.610986,-1198.578467,4.6,152.74,0,0,
Africa,2001,Aug,2019.853757,991.251651,-1028.602106,4.9,153.31,0,0,
Africa,2001,Sep,2053.204104,902.076101,-1151.128003,5,153.85,0,0,
Africa,2001,Oct,1992.172392,1317.460814,-674.711578,5.3,154.43,0,0,
Africa,2001,Nov,1516.02362,958.254727,-557.768893,5.5,154.4,0,0,
Africa,2001,Dec,1543.440839,856.293394,-687.147445,5.7,154.93,0,0,
Africa,2002,Jan,1579.748507,913.450809,-666.297698,5.7,155.46,0,0,
Africa,2002,Feb,1208.625421,979.180616,-229.444805,5.7,156.36,0,0,
Africa,2002,Mar,1589.205648,1021.5009,-567.704748,5.7,157.9,0,0,
Africa,2002,Apr,1883.79346,880.371268,-1003.422192,5.9,159.2,0,0,
Africa,2002,May,1900.973292,823.877487,-1077.095805,5.8,160.93,0,0,
